species	HGNC	UniProtKB	gene	ID
HUMAN	28868	O00425	Insulin-like growth factor 2 mRNA-binding protein 3	IGF2BP3
HUMAN	830	P06576	"ATP synthase subunit beta, mitochondrial"	ATP5B
HUMAN	20908	Q86YF9	Zinc finger protein DZIP1	DZIP1
HUMAN	19653	Q7RTT5	Protein SSX7	SSX7
HUMAN	33783	A6NFD8	Hairy and enhancer of split-related protein HELT	HELT
HUMAN	10992	P12236	ADP/ATP translocase 3	SLC25A6
HUMAN	3246	Q9NZC4	ETS homologous factor	EHF
HUMAN	2063	O15247	Chloride intracellular channel protein 2	CLIC2
HUMAN	8647	Q15365	Poly(rC)-binding protein 1	PCBP1
HUMAN	23846	Q96BF6	Nucleus accumbens-associated protein 2	NACC2
HUMAN	1836	Q15744	CCAAT/enhancer-binding protein epsilon	CEBPE
HUMAN	15924	Q9UJQ4	Sal-like protein 4	SALL4
HUMAN	29787	Q969P6	"DNA topoisomerase I, mitochondrial"	TOP1MT
HUMAN	30096	Q9Y3B4	Pre-mRNA branch site protein p14	SF3B14
HUMAN	22939	Q86W24	"NACHT, LRR and PYD domains-containing protein 14"	NLRP14
HUMAN	29213	Q8WUJ3	Cell migration-inducing and hyaluronan-binding protein	CEMIP
HUMAN	3267	P41091	Eukaryotic translation initiation factor 2 subunit 3	EIF2S3
HUMAN	10980	Q9UBX3	Mitochondrial dicarboxylate carrier	SLC25A10
HUMAN	11542	Q16594	Transcription initiation factor TFIID subunit 9	TAF9
HUMAN	7782	Q16236	Nuclear factor erythroid 2-related factor 2	NFE2L2
HUMAN	21185	Q8NA58	Poly(A)-specific ribonuclease PARN-like domain-containing protein 1	PNLDC1
HUMAN	11621	P20823	Hepatocyte nuclear factor 1-alpha	HNF1A
HUMAN	10359	P83881	60S ribosomal protein L36a	RPL36A
HUMAN	17267	Q8IZP6	RING finger protein 113B	RNF113B
HUMAN	30045	Q96Q15	Serine/threonine-protein kinase SMG1	SMG1
HUMAN	16939	O95391	Pre-mRNA-splicing factor SLU7	SLU7
HUMAN	7410	Q13330	Metastasis-associated protein MTA1	MTA1
HUMAN	3119	Q15329	Transcription factor E2F5	E2F5
HUMAN	7201	Q9BXT6	Putative helicase Mov10l1	MOV10L1
HUMAN	17303	Q5VWG9	Transcription initiation factor TFIID subunit 3	TAF3
HUMAN	17976	Q96L21	60S ribosomal protein L10-like	RPL10L
HUMAN	10387	P62263	40S ribosomal protein S14	RPS14
HUMAN	20471	O95777	U6 snRNA-associated Sm-like protein LSm8	LSM8
HUMAN	5116	P09067	Homeobox protein Hox-B5	HOXB5
HUMAN	16700	Q8WW38	Zinc finger protein ZFPM2	ZFPM2
HUMAN	2488	P52952	Homeobox protein Nkx-2.5	NKX2-5
HUMAN	25163	Q8N1L9	Basic leucine zipper transcriptional factor ATF-like 2	BATF2
HUMAN	17546	Q8WYK2	Jun dimerization protein 2	JDP2
HUMAN	26007	Q5JUW0	KRAB domain-containing protein 4	KRBOX4
HUMAN	9822	O15315	DNA repair protein RAD51 homolog 2	RAD51B
HUMAN	13805	Q9H2A3	Neurogenin-2	NEUROG2
HUMAN	17347	Q9BUQ8	Probable ATP-dependent RNA helicase DDX23	DDX23
HUMAN	24325	Q9NXV6	CDKN2A-interacting protein	CDKN2AIP
HUMAN	23529	Q8TEA1	Putative methyltransferase NSUN6	NSUN6
HUMAN	1103	P25440	Bromodomain-containing protein 2	BRD2
HUMAN	3211	P29692	Elongation factor 1-delta	EEF1D
HUMAN	3299	P55010	Eukaryotic translation initiation factor 5	EIF5
HUMAN	7138	P55198	Protein AF-17	MLLT6
HUMAN	24669	Q6QHK4	Factor in the germline alpha	FIGLA
HUMAN	3491	O00321	ETS translocation variant 2	ETV2
HUMAN	16974	Q6ZRS2	Helicase SRCAP	SRCAP
HUMAN	14958	Q8TB72	Pumilio homolog 2	PUM2
HUMAN	28380	Q86VD7	Mitochondrial coenzyme A transporter SLC25A42	SLC25A42
HUMAN	13112	P24278	Zinc finger and BTB domain-containing protein 25	ZBTB25
HUMAN	15764	Q9GZN2	Homeobox protein TGIF2	TGIF2
HUMAN	14931	Q9NTG7	"NAD-dependent protein deacetylase sirtuin-3, mitochondrial"	SIRT3
HUMAN	9889	Q7Z6E9	E3 ubiquitin-protein ligase RBBP6	RBBP6
HUMAN	1102	O95696	Bromodomain-containing protein 1	BRD1
HUMAN	18056	Q8IZX4	Transcription initiation factor TFIID subunit 1-like	TAF1L
HUMAN	3968	Q92674	Centromere protein I	CENPI
HUMAN	8763	Q53EL6	Programmed cell death protein 4	PDCD4
HUMAN	8651	P57721	Poly(rC)-binding protein 3	PCBP3
HUMAN	26551	Q8IYY4	Zinc finger protein DZIP1L	DZIP1L
HUMAN	30831	Q8NHU6	Tudor domain-containing protein 7	TDRD7
HUMAN	1120	Q9H0C5	BTB/POZ domain-containing protein 1	BTBD1
HUMAN	5275	Q92993	Histone acetyltransferase KAT5	KAT5
HUMAN	1002	Q8N143	B-cell CLL/lymphoma 6 member B protein	BCL6B
HUMAN	12367	P43897	"Elongation factor Ts, mitochondrial"	TSFM
HUMAN	15519	Q14137	Ribosome biogenesis protein BOP1	BOP1
HUMAN	18243	Q8NDN9	RCC1 and BTB domain-containing protein 1	RCBTB1
HUMAN	16999	Q92989	Polyribonucleotide 5'-hydroxyl-kinase Clp1	CLP1
HUMAN	12398	Q9UNY4	Transcription termination factor 2	TTF2
HUMAN	3257	Q14232	Translation initiation factor eIF-2B subunit alpha	EIF2B1
HUMAN	2919	P56179	Homeobox protein DLX-6	DLX6
HUMAN	3954	Q14331	Protein FRG1	FRG1
HUMAN	16147	Q9UJA3	DNA helicase MCM8	MCM8
HUMAN	31010	Q2TAM9	Tumor suppressor candidate gene 1 protein	TUSC1
HUMAN	20083	Q86TM3	Probable ATP-dependent RNA helicase DDX53	DDX53
HUMAN	20374	Q9H4S2	GS homeobox 1	GSX1
HUMAN	20995	Q9Y294	Histone chaperone ASF1A	ASF1A
HUMAN	18832	Q53GI3	Zinc finger protein 394	ZNF394
HUMAN	2749	Q14562	ATP-dependent RNA helicase DHX8	DHX8
HUMAN	1915	O14646	Chromodomain-helicase-DNA-binding protein 1	CHD1
HUMAN	14097	Q96LW9	Zinc finger and SCAN domain-containing protein 31	ZSCAN31
HUMAN	16633	Q9Y3D5	"28S ribosomal protein S18c, mitochondrial"	MRPS18C
HUMAN	11568	Q13395	Probable methyltransferase TARBP1	TARBP1
HUMAN	4646	P52655	Transcription initiation factor IIA subunit 1	GTF2A1
HUMAN	ENSG00000142539	M0R3H8	Uncharacterized protein (Fragment)	unassigned
HUMAN	18060	Q96QS3	Homeobox protein ARX	ARX
HUMAN	9179	P54098	DNA polymerase subunit gamma-1	POLG
HUMAN	11726	Q99973	Telomerase protein component 1	TEP1
HUMAN	12953	P49910	Zinc finger protein 165	ZNF165
HUMAN	13026	Q9UNY5	Zinc finger protein 232	ZNF232
HUMAN	25934	Q8N594	MPN domain-containing protein	MPND
HUMAN	20314	Q86UA1	Pre-mRNA-processing factor 39	PRPF39
HUMAN	11356	Q9UJ98	Cohesin subunit SA-3	STAG3
HUMAN	10420	P23396	40S ribosomal protein S3	RPS3
HUMAN	12397	Q15361	Transcription termination factor 1	TTF1
HUMAN	18122	Q9H6I2	Transcription factor SOX-17	SOX17
HUMAN	25265	Q6NZY4	Zinc finger CCHC domain-containing protein 8	ZCCHC8
HUMAN	23244	P49756	RNA-binding protein 25	RBM25
HUMAN	33194	A6NJT0	Homeobox protein unc-4 homolog	UNCX
HUMAN	17306	Q9HBM6	Transcription initiation factor TFIID subunit 9B	TAF9B
HUMAN	17837	P0C860	Putative male-specific lethal-3 protein-like 2	MSL3P1
HUMAN	12741	Q15056	Eukaryotic translation initiation factor 4H	EIF4H
HUMAN	15714	P42704	"Leucine-rich PPR motif-containing protein, mitochondrial"	LRPPRC
HUMAN	5022	Q9Y261	Hepatocyte nuclear factor 3-beta	FOXA2
HUMAN	14411	Q9BQT8	Mitochondrial 2-oxodicarboxylate carrier	SLC25A21
HUMAN	851	P38606	V-type proton ATPase catalytic subunit A	ATP6V1A
HUMAN	5120	P17482	Homeobox protein Hox-B9	HOXB9
HUMAN	37205	A6NE82	Putative methyl-CpG-binding domain protein 3-like 3	MBD3L3
HUMAN	7658	Q09161	Nuclear cap-binding protein subunit 1	NCBP1
HUMAN	12816	Q01831	DNA repair protein complementing XP-C cells	XPC
HUMAN	23397	Q5T1M5	FK506-binding protein 15	FKBP15
HUMAN	24343	Q9P0U4	CXXC-type zinc finger protein 1	CXXC1
HUMAN	19762	Q8IX07	Zinc finger protein ZFPM1	ZFPM1
HUMAN	25044	Q587J7	Putative ATP-dependent RNA helicase TDRD12	TDRD12
HUMAN	2960	O00115	Deoxyribonuclease-2-alpha	DNASE2
HUMAN	3373	Q09472	Histone acetyltransferase p300	EP300
HUMAN	1600	O60583	Cyclin-T2	CCNT2
HUMAN	28787	Q969X0	RILP-like protein 2	RILPL2
HUMAN	11993	O95985	DNA topoisomerase 3-beta-1	TOP3B
HUMAN	2737	Q92771	Putative ATP-dependent RNA helicase DDX12	DDX12P
HUMAN	4817	P49590	"Probable histidine--tRNA ligase, mitochondrial"	HARS2
HUMAN	20217	Q9NVH0	Exonuclease 3'-5' domain-containing protein 2	EXD2
HUMAN	19651	Q8IYB5	Stromal membrane-associated protein 1	SMAP1
HUMAN	11205	P08047	Transcription factor Sp1	SP1
HUMAN	26895	Q3KP31	Zinc finger protein 791	ZNF791
HUMAN	8623	P55771	Paired box protein Pax-9	PAX9
HUMAN	26987	Q7Z2F6	Putative protein ZNF720	ZNF720
HUMAN	8138	Q9UBC0	Hepatocyte nuclear factor 6	ONECUT1
HUMAN	1554	O00257	E3 SUMO-protein ligase CBX4	CBX4
HUMAN	18824	Q96N95	Zinc finger protein 396	ZNF396
HUMAN	33271	Q8N7B7	Cancer/testis antigen family 45 member A4/A6	CT45A4
HUMAN	12820	Q9GZR2	RNA exonuclease 4	REXO4
HUMAN	18423	O75140	DEP domain-containing protein 5	DEPDC5
HUMAN	17821	O00148	ATP-dependent RNA helicase DDX39A	DDX39A
HUMAN	3800	Q12948	Forkhead box protein C1	FOXC1
HUMAN	ENSG00000248713	D6RIA3	Protein LOC285556	LOC285556
HUMAN	28867	Q9Y6M1	Insulin-like growth factor 2 mRNA-binding protein 2	IGF2BP2
HUMAN	16816	Q8TDI0	Chromodomain-helicase-DNA-binding protein 5	CHD5
HUMAN	18518	O75792	Ribonuclease H2 subunit A	RNASEH2A
HUMAN	11713	Q9Y2W6	Tudor and KH domain-containing protein	TDRKH
HUMAN	19764	Q5TA89	Transcription factor HES-5	HES5
HUMAN	23022	Q86YH2	Zinc finger protein 280B	ZNF280B
HUMAN	2383	O43186	Cone-rod homeobox protein	CRX
HUMAN	33482	A1L020	RNA-binding protein MEX3A	MEX3A
HUMAN	18983	Q8IUM7	Neuronal PAS domain-containing protein 4	NPAS4
HUMAN	20996	Q9NVP2	Histone chaperone ASF1B	ASF1B
HUMAN	5115	P17483	Homeobox protein Hox-B4	HOXB4
HUMAN	23156	P26368	Splicing factor U2AF 65 kDa subunit	U2AF2
HUMAN	6974	O15151	Protein Mdm4	MDM4
HUMAN	3444	P50548	ETS domain-containing transcription factor ERF	ERF
HUMAN	11990	Q02880	DNA topoisomerase 2-beta	TOP2B
HUMAN	16487	Q9NPF8	Arf-GAP with dual PH domain-containing protein 2	ADAP2
HUMAN	18856	Q96BA8	Cyclic AMP-responsive element-binding protein 3-like protein 1	CREB3L1
HUMAN	10532	O75446	Histone deacetylase complex subunit SAP30	SAP30
HUMAN	13561	Q5T1R4	Transcription factor HIVEP3	HIVEP3
HUMAN	20321	Q5TAP6	U3 small nucleolar RNA-associated protein 14 homolog C	UTP14C
HUMAN	8648	Q15366	Poly(rC)-binding protein 2	PCBP2
HUMAN	9192	P19388	"DNA-directed RNA polymerases I, II, and III subunit RPABC1"	POLR2E
HUMAN	6601	P49917	DNA ligase 4	LIG4
HUMAN	13908	Q96SC8	Doublesex- and mab-3-related transcription factor A2	DMRTA2
HUMAN	25518	Q9BW85	Coiled-coil domain-containing protein 94	CCDC94
HUMAN	9972	P35249	Replication factor C subunit 4	RFC4
HUMAN	26959	A6NE52	WD repeat-containing protein KIAA1875	KIAA1875
HUMAN	18800	Q9P215	Pogo transposable element with KRAB domain	POGK
HUMAN	12822	Q9NQW7	Xaa-Pro aminopeptidase 1	XPNPEP1
HUMAN	29531	Q6PKG0	La-related protein 1	LARP1
HUMAN	8087	P29728	2'-5'-oligoadenylate synthase 2	OAS2
HUMAN	483	P03950	Angiogenin	ANG
HUMAN	15792	Q9BZ01	Protein FRG1B	FRG1B
HUMAN	3200	Q5VTE0	Putative elongation factor 1-alpha-like 3	EEF1A1P5
HUMAN	20517	Q6DRA6	Putative histone H2B type 2-D	HIST2H2BD
HUMAN	32310	Q8IXT5	RNA-binding protein 12B	RBM12B
HUMAN	4921	P31629	Transcription factor HIVEP2	HIVEP2
HUMAN	16714	Q96KN3	Homeobox protein PKNOX2	PKNOX2
HUMAN	24030	A9UHW6	MIF4G domain-containing protein	MIF4GD
HUMAN	11201	P35711	Transcription factor SOX-5	SOX5
HUMAN	29362	Q9C0D7	Probable ribonuclease ZC3H12C	ZC3H12C
HUMAN	7783	Q9Y4A8	Nuclear factor erythroid 2-related factor 3	NFE2L3
HUMAN	29980	Q6PIV2	Forkhead box protein R1	FOXR1
HUMAN	20614	Q8NAT2	Tudor domain-containing protein 5	TDRD5
HUMAN	2914	P56177	Homeobox protein DLX-1	DLX1
HUMAN	3374	Q99814	Endothelial PAS domain-containing protein 1	EPAS1
HUMAN	2325	Q9P2I0	Cleavage and polyadenylation specificity factor subunit 2	CPSF2
HUMAN	5102	P31271	Homeobox protein Hox-A13	HOXA13
HUMAN	1594	P51946	Cyclin-H	CCNH
HUMAN	1046	O14503	Class E basic helix-loop-helix protein 40	BHLHE40
HUMAN	16635	P82673	"28S ribosomal protein S35, mitochondrial"	MRPS35
HUMAN	ENSG00000257184	D6RAR5	Uncharacterized protein	unassigned
HUMAN	14065	Q9UKV0	Histone deacetylase 9	HDAC9
HUMAN	16609	Q63ZY6	Putative methyltransferase NSUN5C	NSUN5P2
HUMAN	26817	Q86SG4	Putative Dresden prostate carcinoma protein 2	HMGN2P46
HUMAN	20153	Q9HCK8	Chromodomain-helicase-DNA-binding protein 8	CHD8
HUMAN	9137	Q06265	Exosome complex component RRP45	EXOSC9
HUMAN	30635	O94993	Transcription factor SOX-30	SOX30
HUMAN	25748	Q96GJ1	tRNA (uracil(54)-C(5))-methyltransferase homolog	TRMT2B
HUMAN	4005	Q96I24	Far upstream element-binding protein 3	FUBP3
HUMAN	14409	Q9HC21	Mitochondrial thiamine pyrophosphate carrier	SLC25A19
HUMAN	2935	Q9Y5R5	Doublesex- and mab-3-related transcription factor 2	DMRT2
HUMAN	28629	Q5BKY9	Protein FAM133B	FAM133B
HUMAN	9866	P13631	Retinoic acid receptor gamma	RARG
HUMAN	29926	Q9Y2X3	Nucleolar protein 58	NOP58
HUMAN	3288	Q13541	Eukaryotic translation initiation factor 4E-binding protein 1	EIF4EBP1
HUMAN	3120	O75461	Transcription factor E2F6	E2F6
HUMAN	7370	Q8N5Y2	Male-specific lethal 3 homolog	MSL3
HUMAN	10386	P62277	40S ribosomal protein S13	RPS13
HUMAN	20085	Q8NHQ9	ATP-dependent RNA helicase DDX55	DDX55
HUMAN	20466	Q96SB8	Structural maintenance of chromosomes protein 6	SMC6
HUMAN	14455	P0C5Z0	Histone H2A-Bbd type 2/3	H2AFB2
HUMAN	6776	O75444	Transcription factor Maf	MAF
HUMAN	25176	Q96MX6	WD repeat-containing protein 92	WDR92
HUMAN	6063	Q9H160	Inhibitor of growth protein 2	ING2
HUMAN	14523	Q96MW7	Tigger transposable element-derived protein 1	TIGD1
HUMAN	18485	Q9HC36	RNA methyltransferase-like protein 1	RNMTL1
HUMAN	22263	Q16385	Protein SSX2	SSX2
HUMAN	5105	Q00056	Homeobox protein Hox-A4	HOXA4
HUMAN	9973	P40937	Replication factor C subunit 5	RFC5
HUMAN	30727	Q9UNN4	TFIIA-alpha and beta-like factor	GTF2A1L
HUMAN	30677	Q92917	G patch domain and KOW motifs-containing protein	GPKOW
HUMAN	15962	Q9HC52	Chromobox protein homolog 8	CBX8
HUMAN	9143	Q99453	Paired mesoderm homeobox protein 2B	PHOX2B
HUMAN	7612	P15173	Myogenin	MYOG
HUMAN	7326	P20585	DNA mismatch repair protein Msh3	MSH3
HUMAN	14050	P82912	"28S ribosomal protein S11, mitochondrial"	MRPS11
HUMAN	17098	Q9UPY3	Endoribonuclease Dicer	DICER1
HUMAN	20514	Q8N257	Histone H2B type 3-B	HIST3H2BB
HUMAN	10322	Q16540	"39S ribosomal protein L23, mitochondrial"	MRPL23
HUMAN	23106	Q6NSW7	Putative homeobox protein NANOGP8	NANOGP8
HUMAN	11470	Q7KZ85	Transcription elongation factor SPT6	SUPT6H
HUMAN	24453	Q9BVC3	Sister chromatid cohesion protein DCC1	DSCC1
HUMAN	16844	Q02930	Cyclic AMP-responsive element-binding protein 5	CREB5
HUMAN	25402	Q96G74	OTU domain-containing protein 5	OTUD5
HUMAN	18652	Q9P1Q0	Vacuolar protein sorting-associated protein 54	VPS54
HUMAN	2916	O60479	Homeobox protein DLX-3	DLX3
HUMAN	16856	Q14674	Separin	ESPL1
HUMAN	6923	Q9NR56	Muscleblind-like protein 1	MBNL1
HUMAN	10580	Q9UN30	Sex comb on midleg-like protein 1	SCML1
HUMAN	45037	B5MCY1	Tudor domain-containing protein 15	TDRD15
HUMAN	3208	P24534	Elongation factor 1-beta	EEF1B2
HUMAN	10298	P27635	60S ribosomal protein L10	RPL10
HUMAN	3488	P14921	Protein C-ets-1	ETS1
HUMAN	18118	Q96T23	Remodeling and spacing factor 1	RSF1
HUMAN	5128	P09630	Homeobox protein Hox-C6	HOXC6
HUMAN	11103	Q12824	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	SMARCB1
HUMAN	12766	O96028	Histone-lysine N-methyltransferase NSD2	WHSC1
HUMAN	10330	P46779	60S ribosomal protein L28	RPL28
HUMAN	4854	O15379	Histone deacetylase 3	HDAC3
HUMAN	14256	Q9ULD4	Bromodomain and PHD finger-containing protein 3	BRPF3
HUMAN	2927	Q14565	Meiotic recombination protein DMC1/LIM15 homolog	DMC1
HUMAN	7886	P51513	RNA-binding protein Nova-1	NOVA1
HUMAN	22948	Q9NX02	"NACHT, LRR and PYD domains-containing protein 2"	NLRP2
HUMAN	21734	Q969G2	LIM/homeobox protein Lhx4	LHX4
HUMAN	7780	Q16621	Transcription factor NF-E2 45 kDa subunit	NFE2
HUMAN	20570	Q96S94	Cyclin-L2	CCNL2
HUMAN	11109	Q969G3	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1	SMARCE1
HUMAN	11825	P43699	Homeobox protein Nkx-2.1	NKX2-1
HUMAN	28915	Q9NR55	Basic leucine zipper transcriptional factor ATF-like 3	BATF3
HUMAN	8919	O43189	PHD finger protein 1	PHF1
HUMAN	7014	P50222	Homeobox protein MOX-2	MEOX2
HUMAN	24282	Q9Y388	"RNA-binding motif protein, X-linked 2"	RBMX2
HUMAN	14865	Q8N693	Homeobox protein ESX1	ESX1
HUMAN	33185	A6NMT0	Homeobox protein DBX1	DBX1
HUMAN	10368	P62917	60S ribosomal protein L8	RPL8
HUMAN	26274	Q96I59	"Probable asparagine--tRNA ligase, mitochondrial"	NARS2
HUMAN	19055	Q5RKV6	Exosome complex component MTR3	EXOSC6
HUMAN	443	Q96Q42	Alsin	ALS2
HUMAN	19883	Q6ZSB9	Zinc finger and BTB domain-containing protein 49	ZBTB49
HUMAN	29911	Q13901	Nuclear nucleic acid-binding protein C1D	C1D
HUMAN	13096	Q06730	Zinc finger protein 33A	ZNF33A
HUMAN	10289	P27694	Replication protein A 70 kDa DNA-binding subunit	RPA1
HUMAN	20418	Q9NTI5	Sister chromatid cohesion protein PDS5 homolog B	PDS5B
HUMAN	17352	Q9UH17	DNA dC-dU-editing enzyme APOBEC-3B	APOBEC3B
HUMAN	17340	Q6P2Q9	Pre-mRNA-processing-splicing factor 8	PRPF8
HUMAN	11207	Q02086	Transcription factor Sp2	SP2
HUMAN	17904	Q9NRR4	Ribonuclease 3	DROSHA
HUMAN	18956	Q969S2	Endonuclease 8-like 2	NEIL2
HUMAN	5126	P09017	Homeobox protein Hox-C4	HOXC4
HUMAN	6918	O95983	Methyl-CpG-binding domain protein 3	MBD3
HUMAN	48349	H7BZ11	Protein RPL36A-HNRNPH2 (Fragment)	RPL36A-HNRNPH2
HUMAN	14064	Q9UBN7	Histone deacetylase 6	HDAC6
HUMAN	20604	Q9Y2L1	Exosome complex exonuclease RRP44	DIS3
HUMAN	24100	Q6NTF7	DNA dC-dU-editing enzyme APOBEC-3H	APOBEC3H
HUMAN	2348	Q92793	CREB-binding protein	CREBBP
HUMAN	3810	Q12947	Forkhead box protein F2	FOXF2
HUMAN	7788	Q14938	Nuclear factor 1 X-type	NFIX
HUMAN	11363	P52630	Signal transducer and activator of transcription 2	STAT2
HUMAN	18145	Q8IWS0	PHD finger protein 6	PHF6
HUMAN	30027	Q6IE81	Protein Jade-1	JADE1
HUMAN	25489	Q9ULM3	YEATS domain-containing protein 2	YEATS2
HUMAN	14046	P82921	"28S ribosomal protein S21, mitochondrial"	MRPS21
HUMAN	22944	P59044	"NACHT, LRR and PYD domains-containing protein 6"	NLRP6
HUMAN	5135	P35452	Homeobox protein Hox-D12	HOXD12
HUMAN	27653	Q6PIV7	Solute carrier family 25 member 34	SLC25A34
HUMAN	11189	O00570	Transcription factor SOX-1	SOX1
HUMAN	14255	P55201	Peregrin	BRPF1
HUMAN	960	Q9NRL2	Bromodomain adjacent to zinc finger domain protein 1A	BAZ1A
HUMAN	5117	P17509	Homeobox protein Hox-B6	HOXB6
HUMAN	16912	Q92979	Ribosomal RNA small subunit methyltransferase NEP1	EMG1
HUMAN	9123	A4D2B8	Putative postmeiotic segregation increased 2-like protein 1	PMS2P1
HUMAN	13506	Q8TBJ5	Fez family zinc finger protein 2	FEZF2
HUMAN	23709	Q8NAM6	Zinc finger and SCAN domain-containing protein 4	ZSCAN4
HUMAN	23166	Q8TCS8	"Polyribonucleotide nucleotidyltransferase 1, mitochondrial"	PNPT1
HUMAN	2468	Q9UQE7	Structural maintenance of chromosomes protein 3	SMC3
HUMAN	7966	Q13133	Oxysterols receptor LXR-alpha	NR1H3
HUMAN	29147	Q9Y2D9	Zinc finger protein 652	ZNF652
HUMAN	10389	P62244	40S ribosomal protein S15a	RPS15A
HUMAN	9832	P55895	V(D)J recombination-activating protein 2	RAG2
HUMAN	3735	O43638	Forkhead box protein S1	FOXS1
HUMAN	7968	O75469	Nuclear receptor subfamily 1 group I member 2	NR1I2
HUMAN	9903	P78332	RNA-binding protein 6	RBM6
HUMAN	30793	O60841	Eukaryotic translation initiation factor 5B	EIF5B
HUMAN	26208	Q9H649	Putative methyltransferase NSUN3	NSUN3
HUMAN	10984	O95258	Brain mitochondrial carrier protein 1	SLC25A14
HUMAN	15506	Q9BSV6	tRNA-splicing endonuclease subunit Sen34	TSEN34
HUMAN	14264	Q9NY12	H/ACA ribonucleoprotein complex subunit 1	GAR1
HUMAN	19876	Q9H2F5	Enhancer of polycomb homolog 1	EPC1
HUMAN	7784	Q12857	Nuclear factor 1 A-type	NFIA
HUMAN	21745	Q7Z5Q1	Cytoplasmic polyadenylation element-binding protein 2	CPEB2
HUMAN	24260	Q9Y3C7	Mediator of RNA polymerase II transcription subunit 31	MED31
HUMAN	24097	Q8WWN8	"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3"	ARAP3
HUMAN	17940	Q9P2K5	Myelin expression factor 2	MYEF2
HUMAN	29433	Q5QGS0	Protein KIAA2022	KIAA2022
HUMAN	29850	O75113	NEDD4-binding protein 1	N4BP1
HUMAN	18250	Q8WUB8	PHD finger protein 10	PHF10
HUMAN	10767	Q12874	Splicing factor 3A subunit 3	SF3A3
HUMAN	5047	O43390	Heterogeneous nuclear ribonucleoprotein R	HNRNPR
HUMAN	3271	Q14152	Eukaryotic translation initiation factor 3 subunit A	EIF3A
HUMAN	10258	P35398	Nuclear receptor ROR-alpha	RORA
HUMAN	8617	P23760	Paired box protein Pax-3	PAX3
HUMAN	16638	Q8IYB3	Serine/arginine repetitive matrix protein 1	SRRM1
HUMAN	1001	P41182	B-cell lymphoma 6 protein	BCL6
HUMAN	4986	P05204	Non-histone chromosomal protein HMG-17	HMGN2
HUMAN	24220	Q6P1N9	Putative deoxyribonuclease TATDN1	TATDN1
HUMAN	17687	Q9Y2P8	RNA 3'-terminal phosphate cyclase-like protein	RCL1
HUMAN	7972	P49116	Nuclear receptor subfamily 2 group C member 2	NR2C2
HUMAN	30852	Q16560	U11/U12 small nuclear ribonucleoprotein 35 kDa protein	SNRNP35
HUMAN	22947	Q8WX94	"NACHT, LRR and PYD domains-containing protein 7"	NLRP7
HUMAN	18513	Q9Y6X8	Zinc fingers and homeoboxes protein 2	ZHX2
HUMAN	18019	Q9H8U3	AN1-type zinc finger protein 3	ZFAND3
HUMAN	11362	P42224	Signal transducer and activator of transcription 1-alpha/beta	STAT1
HUMAN	44201	P0DKL9	ARL14 effector protein-like	ARL14EPL
HUMAN	11896	P21580	Tumor necrosis factor alpha-induced protein 3	TNFAIP3
HUMAN	2484	P33240	Cleavage stimulation factor subunit 2	CSTF2
HUMAN	4727	Q99878	Histone H2A type 1-J	HIST1H2AJ
HUMAN	12826	O43592	Exportin-T	XPOT
HUMAN	30098	Q8N684	Cleavage and polyadenylation specificity factor subunit 7	CPSF7
HUMAN	7838	Q99801	Homeobox protein Nkx-3.1	NKX3-1
HUMAN	2760	Q9H4E7	Differentially expressed in FDCP 6 homolog	DEF6
HUMAN	4760	Q16778	Histone H2B type 2-E	HIST2H2BE
HUMAN	13504	Q8N6H7	ADP-ribosylation factor GTPase-activating protein 2	ARFGAP2
HUMAN	30454	Q9NSQ0	Putative ribosomal RNA-processing protein 7 homolog B	RRP7B
HUMAN	28403	Q8TBZ6	tRNA methyltransferase 10 homolog A	TRMT10A
HUMAN	18562	Q99581	Protein FEV	FEV
HUMAN	2326	Q9UKF6	Cleavage and polyadenylation specificity factor subunit 3	CPSF3
HUMAN	29093	O75152	Zinc finger CCCH domain-containing protein 11A	ZC3H11A
HUMAN	4722	Q92522	Histone H1x	H1FX
HUMAN	2360	P50238	Cysteine-rich protein 1	CRIP1
HUMAN	5134	P31277	Homeobox protein Hox-D11	HOXD11
HUMAN	11741	Q00059	"Transcription factor A, mitochondrial"	TFAM
HUMAN	6118	Q14653	Interferon regulatory factor 3	IRF3
HUMAN	20166	O15037	Protein KHNYN	KHNYN
HUMAN	12428	Q15672	Twist-related protein 1	TWIST1
HUMAN	14512	Q92552	"28S ribosomal protein S27, mitochondrial"	MRPS27
HUMAN	5276	O43719	HIV Tat-specific factor 1	HTATSF1
HUMAN	5111	P14653	Homeobox protein Hox-B1	HOXB1
HUMAN	25953	Q6N043	Zinc finger protein 280D	ZNF280D
HUMAN	30830	Q5TKA1	Protein lin-9 homolog	LIN9
HUMAN	16713	O75494	Serine/arginine-rich splicing factor 10	SRSF10
HUMAN	28112	Q15024	Exosome complex component RRP42	EXOSC7
HUMAN	24721	Q9H6S0	Probable ATP-dependent RNA helicase YTHDC2	YTHDC2
HUMAN	28838	Q68G74	LIM/homeobox protein Lhx8	LHX8
HUMAN	12660	Q5SQQ9	Ventral anterior homeobox 1	VAX1
HUMAN	21064	Q64LD2	WD repeat-containing protein 25	WDR25
HUMAN	10349	P63173	60S ribosomal protein L38	RPL38
